country,continent,city_count,observed_rows,objective_rows,verified_rows,years_observed,expected_rows,row_coverage,objective_row_ratio,verified_row_ratio,year_coverage
Guinea,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Guyana,South America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Haiti,North America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Honduras,North America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Hong Kong,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Hungary,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
India,Asia,9,99,99,99,11,99,1.0,1.0,1.0,1.0
Indonesia,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Iran,Asia,3,33,33,33,11,33,1.0,1.0,1.0,1.0
Iraq,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Ireland,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Israel,Asia,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Italy,Europe,7,77,77,77,11,77,1.0,1.0,1.0,1.0
Japan,Asia,6,66,66,66,11,66,1.0,1.0,1.0,1.0
Jordan,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Kazakhstan,Asia,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Kenya,Africa,3,33,33,33,11,33,1.0,1.0,1.0,1.0
Kuwait,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Kyrgyzstan,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Laos,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Latvia,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Lebanon,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Liberia,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Libya,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Lithuania,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Madagascar,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Malawi,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Malaysia,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Mali,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Mauritania,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Mexico,North America,8,88,88,88,11,88,1.0,1.0,1.0,1.0
Mongolia,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Morocco,Africa,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Mozambique,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Namibia,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Nepal,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Netherlands,Europe,2,22,22,22,11,22,1.0,1.0,1.0,1.0
New Zealand,Oceania,5,55,55,55,11,55,1.0,1.0,1.0,1.0
Nicaragua,North America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Niger,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Nigeria,Africa,5,55,55,55,11,55,1.0,1.0,1.0,1.0
Norway,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Oman,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Pakistan,Asia,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Panama,North America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Papua New Guinea,Oceania,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Paraguay,South America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Peru,South America,4,44,44,44,11,44,1.0,1.0,1.0,1.0
Philippines,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Poland,Europe,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Portugal,Europe,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Qatar,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Republic of the Congo,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Romania,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Russia,Asia,8,88,88,88,11,88,1.0,1.0,1.0,1.0
Russia,Europe,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Rwanda,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Saudi Arabia,Asia,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Senegal,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Serbia,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Sierra Leone,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Singapore,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Slovakia,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Slovenia,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Somalia,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
South Africa,Africa,4,44,44,44,11,44,1.0,1.0,1.0,1.0
South Korea,Asia,3,33,33,33,11,33,1.0,1.0,1.0,1.0
Spain,Europe,6,66,66,66,11,66,1.0,1.0,1.0,1.0
Sri Lanka,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Sudan,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Suriname,South America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Sweden,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Switzerland,Europe,3,33,33,33,11,33,1.0,1.0,1.0,1.0
Taiwan,Asia,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Tajikistan,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Tanzania,Africa,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Thailand,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Tunisia,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Turkey,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Turkmenistan,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Uganda,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Ukraine,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
United Arab Emirates,Asia,2,22,22,22,11,22,1.0,1.0,1.0,1.0
United Kingdom,Europe,5,55,55,55,11,55,1.0,1.0,1.0,1.0
United States,North America,19,209,209,209,11,209,1.0,1.0,1.0,1.0
Uruguay,South America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Uzbekistan,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Venezuela,South America,3,33,33,33,11,33,1.0,1.0,1.0,1.0
Vietnam,Asia,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Zambia,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Zimbabwe,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
